FirstName, LastName, Quarter, Year, TotalRevenue, RevenueRank
ALISHA, CHEN, 1, 2017, 3308.9281215667725, 59
ARIANA, GRAY, 1, 2017, 3017.030059814453, 60
COLIN, HE, 1, 2017, 3015.3981189727783, 61
LACEY, ZHENG, 1, 2017, 2986.0200595855713, 62
COLIN, TANG, 1, 2017, 2955.2896518707275, 63
JON, ZENG, 1, 2017, 2915.2681198120117, 64
MARIE, RAMOS, 1, 2017, 2867.689651489258, 65
APRIL, BECK, 1, 2017, 2867.3781185150146, 66
RUBEN, VAZQUEZ, 1, 2017, 2840.739652633667, 67
JESSIE, ALVAREZ, 1, 2017, 2825.0923194885254, 68
SYDNEY, THOMAS, 1, 2017, 2813.7696533203125, 69
LISA, CAI, 1, 2017, 2596.6284685134888, 70
BARRY, SUBRAM, 1, 2017, 2582.183567047119, 71
STEFANIE, FERNANDEZ, 1, 2017, 2554.2984685897827, 72
KATRINA, XU, 1, 2017, 2536.0100688934326, 73
MARIE, SANZ, 1, 2017, 2533.298469543457, 74
MAYRA, ARUN, 1, 2017, 2531.0200691223145, 75
ASHLEY, RUSSELL, 1, 2017, 2531.0200691223145, 75
KATIE, KUMAR, 1, 2017, 2529.116268157959, 77
JULIAN, BUTLER, 1, 2017, 2528.1162662506104, 78
NICOLE, FLORES, 1, 2017, 2524.077367782593, 79
RANDY, ZENG, 1, 2017, 2514.6642665863037, 80
CASSANDRA, MALHOTRA, 1, 2017, 2512.8777656555176, 81
JACKSON, CAMPBELL, 1, 2017, 2502.96266746521, 82
CANDACE, RAMAN, 1, 2017, 2500.9426698684692, 83
TAMARA, HE, 1, 2017, 2499.3184700012207, 84
AUDREY, MUNOZ, 1, 2017, 2497.6368703842163, 85
BYRON, CARLSON, 1, 2017, 2488.992670059204, 86
JANET, ORTEGA, 1, 2017, 2488.3585662841797, 87
GEORGE, SANCHEZ, 1, 2017, 2488.298469543457, 88
JOCELYN, DIAZ, 1, 2017, 2485.6742668151855, 89
OLIVIA, ANDERSON, 1, 2017, 2485.6742668151855, 89
ISAIAH, COX, 1, 2017, 2485.6742668151855, 89
DALTON, SANDERS, 1, 2017, 2485.6742668151855, 89
ANDRE, PEREZ, 1, 2017, 2485.6742668151855, 89
DANIEL, WILSON, 1, 2017, 2485.600067138672, 94
BONNIE, JAI, 1, 2017, 2484.520067214966, 95
ANN, GONZALEZ, 1, 2017, 2482.0300693511963, 96
PAIGE, SIMMONS, 1, 2017, 2482.0300693511963, 96
RICKY, VAZQUEZ, 1, 2017, 2481.020067214966, 98
HALEY, RIVERA, 1, 2017, 2480.8800659179688, 99
ABIGAIL, PATTERSON, 1, 2017, 2480.6842670440674, 100
DALTON, WATSON, 1, 2017, 2477.9626684188843, 101
GABRIEL, GRIFFIN, 1, 2017, 2477.500066757202, 102
ELIZABETH, MARTINEZ, 1, 2017, 2477.385766983032, 103
GLORIA, TORRES, 1, 2017, 2473.9300689697266, 104
MEAGAN, RANA, 1, 2017, 2473.9300689697266, 104
MARC, TORRES, 1, 2017, 2473.0500717163086, 106
NINA, RAJI, 1, 2017, 2471.606867790222, 107
RANDY, XU, 1, 2017, 2471.0200691223145, 108
EDWARD, ANDERSON, 1, 2017, 2467.127368927002, 109
KEITH, XIE, 1, 2017, 2467.127368927002, 109
OLIVIA, FLORES, 1, 2017, 2467.127368927002, 109
CHLOE, BENNETT, 1, 2017, 2467.0200691223145, 112
ISAAC, PETERSON, 1, 2017, 2467.0200691223145, 112
MAX, ALVAREZ, 1, 2017, 2467.0200691223145, 112
JEREMY, ROBERTS, 1, 2017, 2466.5400676727295, 115
MEAGAN, MADAN, 1, 2017, 2466.1562690734863, 116
SHARON, SALAVARIA, 1, 2017, 2466.1562690734863, 116
RAQUEL, GUTIERREZ, 1, 2017, 2466.0200691223145, 118
ZACHARY, THOMPSON, 1, 2017, 2465.781566619873, 119
MAKAYLA, BROOKS, 1, 2017, 2465.781566619873, 119
DOMINIQUE, PRASAD, 1, 2017, 2465.781566619873, 119
DALTON, BUTLER, 1, 2017, 2465.146266937256, 122
MAX, SERRANO, 1, 2017, 2464.8104667663574, 123
RICARDO, NATH, 1, 2017, 2464.8104667663574, 123
LATASHA, ALONSO, 1, 2017, 2464.308469772339, 125
MONICA, VANCE, 1, 2017, 2463.0200691223145, 126
ARTHUR, CARLSON, 1, 2017, 2462.96266746521, 127
JESSIE, JIMENEZ, 1, 2017, 2459.126266479492, 128
ALEXANDRA, BARNES, 1, 2017, 2458.0300693511963, 129
JONATHAN, THOMPSON, 1, 2017, 2458.0300693511963, 129
ADAM, ROSS, 1, 2017, 2457.0300693511963, 131
EDUARDO, GRIFFIN, 1, 2017, 2457.020067214966, 132
RACHEL, GARCIA, 1, 2017, 2456.6842670440674, 133
NICOLE, MORRIS, 1, 2017, 2456.6100673675537, 134
RILEY, SANCHEZ, 1, 2017, 2456.6100673675537, 134
FAITH, HAYES, 1, 2017, 2456.6100673675537, 134
BARRY, RAMAN, 1, 2017, 2456.6100673675537, 134
JENNA, PARKER, 1, 2017, 2455.348470687866, 138
MARCO, LOPEZ, 1, 2017, 2454.6642665863037, 139
JIMMY, VAZQUEZ, 1, 2017, 2454.6642665863037, 139
LYDIA, SUBRAM, 1, 2017, 2452.0300674438477, 141
JACLYN, ZHENG, 1, 2017, 2452.0300674438477, 141
MEREDITH, GUTIERREZ, 1, 2017, 2452.0300674438477, 141
HANNAH, DAVIS, 1, 2017, 2452.0100688934326, 144
ALYSSA, DIAZ, 1, 2017, 2451.6200675964355, 145
MARISSA, ROSS, 1, 2017, 2451.1073665618896, 146
BRIANNA, MCDONALD, 1, 2017, 2450.6642665863037, 147
ASHLEY, BENNETT, 1, 2017, 2447.0400676727295, 148
MONIQUE, ORTEGA, 1, 2017, 2447.0400676727295, 148
DEVIN, KELLY, 1, 2017, 2447.0400676727295, 148
KATHERINE, WASHINGTON, 1, 2017, 2447.0200691223145, 151
NICHOLE, SHE, 1, 2017, 2445.6742668151855, 152
TINA, LOPEZ, 1, 2017, 2445.6742668151855, 152
ALAN, HUANG, 1, 2017, 2445.6742668151855, 152
ISAIAH, RAMIREZ, 1, 2017, 2442.0500679016113, 155
ADRIANA, LOPEZ, 1, 2017, 2442.0500679016113, 155
DANIELLE, BELL, 1, 2017, 2442.0500679016113, 155
ADRIENNE, TORRES, 1, 2017, 2442.0500679016113, 155
LAURA, ZHOU, 1, 2017, 2442.0500679016113, 155
KATHERINE, THOMAS, 1, 2017, 2441.262367248535, 160
ALBERTO, BLANCO, 1, 2017, 2441.262367248535, 160
KEVIN, WRIGHT, 1, 2017, 2441.262367248535, 160
REBEKAH, NAVARRO, 1, 2017, 2440.6842670440674, 163
VINCENT, MA, 1, 2017, 2438.3084678649902, 164
DYLAN, MARTINEZ, 1, 2017, 2438.3084678649902, 164
RANDALL, GOMEZ, 1, 2017, 2438.060070037842, 166
CALEB, SIMMONS, 1, 2017, 2438.060070037842, 166
CONNOR, BUTLER, 1, 2017, 2438.060070037842, 166
KAREN, ZENG, 1, 2017, 2438.060070037842, 166
KATE, RAJI, 1, 2017, 2438.060070037842, 166
LOUIS, LUO, 1, 2017, 2438.060070037842, 166
FAITH, STEWART, 1, 2017, 2438.060070037842, 166
SARAH, GARCIA, 1, 2017, 2438.060070037842, 166
MORGAN, PEREZ, 1, 2017, 2438.060070037842, 166
RYAN, PERRY, 1, 2017, 2438.060070037842, 166
SYDNEY, MILLER, 1, 2017, 2438.060070037842, 166
DEVIN, COX, 1, 2017, 2438.060070037842, 166
DALTON, SIMMONS, 1, 2017, 2438.060070037842, 166
MARY, PEREZ, 1, 2017, 2438.060070037842, 166
LANCE, ORTEGA, 1, 2017, 2438.060070037842, 166
ALEXANDRA, MARTIN, 1, 2017, 2438.060070037842, 166
JIMMY, TRAVERS, 1, 2017, 2438.060070037842, 166
MICHELE, MADAN, 1, 2017, 2438.060070037842, 166
ABIGAIL, KELLY, 1, 2017, 2438.060070037842, 166
SHEILA, RUIZ, 1, 2017, 2438.060070037842, 166
WESLEY, GAO, 1, 2017, 2438.060070037842, 166
MELISSA, PATTERSON, 1, 2017, 2438.060070037842, 166
EBONY, GUTIERREZ, 1, 2017, 2437.9626684188843, 188
ORLANDO, CARLSON, 1, 2017, 2437.040069580078, 189
CODY, MORRIS, 1, 2017, 2436.920066833496, 190
JOSE, CLARK, 1, 2017, 2436.6842670440674, 191
LESLIE, GUTIERREZ, 1, 2017, 2436.348470687866, 192
ROBIN, NAVARRO, 1, 2017, 2436.348470687866, 192
KENNETH, PAL, 1, 2017, 2436.348470687866, 192
CASEY, CARLSON, 1, 2017, 2435.880066871643, 195
OLIVIA, GONZALES, 1, 2017, 2435.0026683807373, 196
AARON, HUGHES, 1, 2017, 2434.3084678649902, 197
JOCELYN, HENDERSON, 1, 2017, 2432.920066833496, 198
KEVIN, CAMPBELL, 1, 2017, 2429.318468093872, 199
MARTY, SIMPSON, 1, 2017, 2429.318468093872, 199
RICHARD, FLORES, 1, 2017, 2429.318468093872, 199
DIANA, RAMOS, 1, 2017, 2429.318468093872, 199
DOMINIC, SAI, 1, 2017, 2429.318468093872, 199
ELIJAH, ROBERTS, 1, 2017, 2427.930067062378, 204
RYAN, WILLIAMS, 1, 2017, 2425.600067138672, 205
TYLER, ROBINSON, 1, 2017, 2424.328468322754, 206
CINDY, PATEL, 1, 2017, 2422.6300678253174, 207
ANNE, RAMOS, 1, 2017, 2421.020067214966, 208
ALEJANDRO, HUANG, 1, 2017, 2419.060070037842, 209
BRENDA, PEREZ, 1, 2017, 2419.060070037842, 209
SAVANNAH, MORRIS, 1, 2017, 2419.060070037842, 209
EDWIN, NARA, 1, 2017, 2419.060070037842, 209
LAURA, LIN, 1, 2017, 2419.060070037842, 209
GEORGE, MCDONALD, 1, 2017, 2419.060070037842, 209
DEVIN, MURPHY, 1, 2017, 2419.060070037842, 209
JULIAN, COLEMAN, 1, 2017, 2419.060070037842, 209
SOPHIA, TURNER, 1, 2017, 2419.060070037842, 209
ALYSSA, SMITH, 1, 2017, 2419.060070037842, 209
LAWRENCE, RUBIO, 1, 2017, 2419.060070037842, 209
ROY, RUIZ, 1, 2017, 2419.060070037842, 209
NOAH, YANG, 1, 2017, 2419.060070037842, 209
CLARENCE, ANAND, 1, 2017, 2419.060070037842, 209
CRYSTAL, WANG, 1, 2017, 2419.060070037842, 209
LACEY, RAJE, 1, 2017, 2419.060070037842, 209
DUSTIN, ANDERSEN, 1, 2017, 2419.060070037842, 209
FELICIA, SUAREZ, 1, 2017, 2419.060070037842, 209
KAYLA, HENDERSON, 1, 2017, 2419.060070037842, 209
WYATT, MILLER, 1, 2017, 2419.060070037842, 209
ELIZABETH, ROSS, 1, 2017, 2419.060070037842, 209
JULIA, WOOD, 1, 2017, 2419.060070037842, 209
CHLOE, BROOKS, 1, 2017, 2419.060070037842, 209
MORGAN, YOUNG, 1, 2017, 2419.060070037842, 209
WYATT, PEREZ, 1, 2017, 2419.060070037842, 209
SUMMER, MADAN, 1, 2017, 2419.060070037842, 209
ALEXIS, THOMAS, 1, 2017, 2418.9000673294067, 235
FRANK, CARLSON, 1, 2017, 2417.9500675201416, 236
VIRGINIA, MEHTA, 1, 2017, 2417.714267730713, 237
KAYLEE, COOK, 1, 2017, 2417.714267730713, 237
AUSTIN, DAVIS, 1, 2017, 2417.714267730713, 237
MARK, BEBBINGTON, 1, 2017, 2417.714267730713, 237
JORDYN, JENKINS, 1, 2017, 2417.714267730713, 237
JULIA, JONES, 1, 2017, 2417.714267730713, 237
CASEY, ALVAREZ, 1, 2017, 2417.714267730713, 237
KYLE, EDWARDS, 1, 2017, 2417.714267730713, 237
CLAYTON, NARA, 1, 2017, 2417.714267730713, 237
EMILY, MILLER, 1, 2017, 2417.714267730713, 237
MARIO, RAJI, 1, 2017, 2417.714267730713, 237
REBECCA, PHILLIPS, 1, 2017, 2417.714267730713, 237
NOAH, JAI, 1, 2017, 2417.714267730713, 237
VICTOR, JIMENEZ, 1, 2017, 2417.714267730713, 237
HAILEY, ADAMS, 1, 2017, 2417.714267730713, 237
HANNAH, ROBINSON, 1, 2017, 2417.714267730713, 237
DUSTIN, CHANDER, 1, 2017, 2417.714267730713, 237
DALTON, EVANS, 1, 2017, 2417.714267730713, 237
NICOLE, BROWN, 1, 2017, 2417.714267730713, 237
COLIN, NATH, 1, 2017, 2417.714267730713, 237
CLAYTON, JAI, 1, 2017, 2417.714267730713, 237
ANTONIO, SIMMONS, 1, 2017, 2417.714267730713, 237
LATASHA, MUNOZ, 1, 2017, 2417.714267730713, 237
JARROD, SURI, 1, 2017, 2417.714267730713, 237
LUKE, PERRY, 1, 2017, 2417.714267730713, 237
ANN, MARTINEZ, 1, 2017, 2417.714267730713, 237
SHANNON, YANG, 1, 2017, 2417.714267730713, 237
MEREDITH, RAMAN, 1, 2017, 2417.714267730713, 237
RILEY, MORGAN, 1, 2017, 2417.714267730713, 237
JOANNA, VAZQUEZ, 1, 2017, 2417.714267730713, 237
SARAH, COLEMAN, 1, 2017, 2417.714267730713, 237
LEAH, HU, 1, 2017, 2417.714267730713, 237
MATHEW, MORENO, 1, 2017, 2417.714267730713, 237
ASHLEY, MARTIN, 1, 2017, 2417.714267730713, 237
ANNA, COLEMAN, 1, 2017, 2417.714267730713, 237
GABRIELLE, EVANS, 1, 2017, 2417.714267730713, 237
FERNANDO, SMITH, 1, 2017, 2417.714267730713, 237
RILEY, PRICE, 1, 2017, 2417.714267730713, 237
JADA, SANCHEZ, 1, 2017, 2417.714267730713, 237
KARI, CHAPMAN, 1, 2017, 2417.714267730713, 237
MARIA, WOOD, 1, 2017, 2417.714267730713, 237
TERESA, ORTEGA, 1, 2017, 2417.714267730713, 237
CEDRIC, LIU, 1, 2017, 2417.714267730713, 237
BIANCA, YANG, 1, 2017, 2417.714267730713, 237
JOHN, MARTIN, 1, 2017, 2417.714267730713, 237
CHASE, WATSON, 1, 2017, 2417.714267730713, 237
TAMARA, HU, 1, 2017, 2417.714267730713, 237
CLIFFORD, MALHOTRA, 1, 2017, 2417.714267730713, 237
SERGIO, RAMAN, 1, 2017, 2417.020067214966, 285
ROBERT, FLORES, 1, 2017, 2417.020067214966, 285
GABRIELLE, BELL, 1, 2017, 2417.020067214966, 285
LUIS, COLLINS, 1, 2017, 2416.6100673675537, 288
LOGAN, HERNANDEZ, 1, 2017, 2414.9000673294067, 289
ISAIAH, HALL, 1, 2017, 2413.060068130493, 290
KATHERINE, GONZALEZ, 1, 2017, 2412.0300674438477, 291
JEROME, ROMERO, 1, 2017, 2412.0300674438477, 291
JASMINE, WALKER, 1, 2017, 2412.0300674438477, 291
DOROTHY, ROBINSON, 1, 2017, 2412.0300674438477, 291
LATASHA, NAVARRO, 1, 2017, 2412.0300674438477, 291
ABIGAIL, HUGHES, 1, 2017, 2412.0300674438477, 291
CARLOS, BELL, 1, 2017, 2412.0300674438477, 291
JOE, RANA, 1, 2017, 2412.0300674438477, 291
TERRY, RAI, 1, 2017, 2412.0300674438477, 291
PHILIP, CARLSON, 1, 2017, 2412.0300674438477, 291
EMMANUEL, PATEL, 1, 2017, 2412.0300674438477, 291
ANGELA, BARNES, 1, 2017, 2412.0300674438477, 291
CODY, GRAY, 1, 2017, 2412.0300674438477, 291
ALEXIA, FOSTER, 1, 2017, 2412.0300674438477, 291
MARTHA, SHE, 1, 2017, 2411.0400676727295, 305
ASHLEY, LONG, 1, 2017, 2410.0026693344116, 306
ANDREA, WATSON, 1, 2017, 2410.0026693344116, 306
MELANIE, BRADLEY, 1, 2017, 2410.0000677108765, 308
ALBERT, SERRANO, 1, 2017, 2408.0300674438477, 309
LOUIS, XIE, 1, 2017, 2407.0400676727295, 310
ISAAC, WRIGHT, 1, 2017, 2407.0400676727295, 310
ETHAN, DAVIS, 1, 2017, 2407.0400676727295, 310
CURTIS, YANG, 1, 2017, 2407.0400676727295, 310
MARIAH, GRIFFIN, 1, 2017, 2402.0500679016113, 314
DAISUKE, YANAGISHIMA, 1, 2017, 2402.0500679016113, 314
CARRIE, ORTEGA, 1, 2017, 2402.0500679016113, 314
DANIEL, LEE, 1, 2017, 2402.0500679016113, 314
CHRISTIAN, JOHNSON, 1, 2017, 2402.0500679016113, 314
FAITH, BROOKS, 1, 2017, 2402.0500679016113, 314
BRIANNA, DIAZ, 1, 2017, 2402.0500679016113, 314
BROOKE, RIVERA, 1, 2017, 2402.0500679016113, 314
WARREN, BLACK, 1, 2017, 2402.0500679016113, 314
ELIZABETH, WEST, 1, 2017, 2401.3584690093994, 323
CHRISTY, CHOW, 1, 2017, 2401.3584690093994, 323
ARTURO, XIE, 1, 2017, 2401.3584690093994, 323
DEBORAH, GOEL, 1, 2017, 2401.3584690093994, 323
CHARLES, MARTIN, 1, 2017, 2401.3584690093994, 323
VICTORIA, BUTLER, 1, 2017, 2401.3584690093994, 323
SHANNON, ALONSO, 1, 2017, 2401.3584690093994, 323
JESSICA, WALKER, 1, 2017, 2401.3584690093994, 323
VINCENT, ZHOU, 1, 2017, 2401.3584690093994, 323
JORDAN, KUMAR, 1, 2017, 2401.3584690093994, 323
ELIJAH, PATTERSON, 1, 2017, 2401.3584690093994, 323
EDGAR, MEHTA, 1, 2017, 2401.3584690093994, 323
CONNOR, KING, 1, 2017, 2401.3584690093994, 323
KATHRYN, CHAPMAN, 1, 2017, 2401.3584690093994, 323
DUSTIN, GOLDSTEIN, 1, 2017, 2401.3584690093994, 323
LUKE, JENKINS, 1, 2017, 2401.3584690093994, 323
WARREN, XU, 1, 2017, 2401.3584690093994, 323
AUDREY, RAMOS, 1, 2017, 2401.3584690093994, 323
CHARLES, WEISMAN, 1, 2017, 2401.3584690093994, 323
TREVOR, WASHINGTON, 1, 2017, 2401.3584690093994, 323
JERMAINE, LOPEZ, 1, 2017, 2401.3584690093994, 323
LACEY, YUAN, 1, 2017, 2401.3584690093994, 323
KAITLYN, GONZALES, 1, 2017, 2401.3584690093994, 323
VICTORIA, BARNES, 1, 2017, 2393.060068130493, 346
BRIAN, GRAY, 1, 2017, 2393.060068130493, 346
ANDRÉS, ANAND, 1, 2017, 2392.714268684387, 348
JESSIE, RAMOS, 1, 2017, 2384.070068359375, 349
ETHAN, FOSTER, 1, 2017, 2384.070068359375, 349
DAWN, NATH, 1, 2017, 2384.070068359375, 349
GABRIELLA, SANDERS, 1, 2017, 2384.070068359375, 349
MIGUEL, EDWARDS, 1, 2017, 2384.070068359375, 349
DERRICK, MARTIN, 1, 2017, 2384.070068359375, 349
VICTORIA, GONZALES, 1, 2017, 2384.070068359375, 349
ALEX, SANCHEZ, 1, 2017, 2384.070068359375, 349
JULIO, ORTEGA, 1, 2017, 2384.070068359375, 349
ANGELA, HENDERSON, 1, 2017, 2384.070068359375, 349
HUNTER, COLEMAN, 1, 2017, 2384.070068359375, 349
DEVIN, GRIFFIN, 1, 2017, 2384.070068359375, 349
CINDY, JAMES, 1, 2017, 2384.070068359375, 349
KARA, ANAND, 1, 2017, 2384.070068359375, 349
JAMES, ALEXANDER, 1, 2017, 2384.070068359375, 349
JACK, JAI, 1, 2017, 2384.070068359375, 349
RONALD, PRASAD, 1, 2017, 2384.070068359375, 349
KELSEY, BECKER, 1, 2017, 2384.070068359375, 349
ROY, SANZ, 1, 2017, 2384.070068359375, 349
LARRY, MUNOZ, 1, 2017, 2384.070068359375, 349
RAFAEL, TANG, 1, 2017, 2384.070068359375, 349
JOE, RAMOS, 1, 2017, 2384.070068359375, 349
COLIN, STONE, 1, 2017, 2384.070068359375, 349
KRISTI, SANCHEZ, 1, 2017, 2384.070068359375, 349
JAN, COX, 1, 2017, 2384.070068359375, 349
SYDNEY, SANDERS, 1, 2017, 2384.070068359375, 349
SARAH, MARTINEZ, 1, 2017, 2384.070068359375, 349
HOLLY, FERNANDEZ, 1, 2017, 2384.070068359375, 349
IRVING, SCHMIDT, 1, 2017, 2384.070068359375, 349
KEVIN, COLLINS, 1, 2017, 2384.070068359375, 349
STACY, DIAZ, 1, 2017, 2384.070068359375, 349
EMILY, PERRY, 1, 2017, 2384.070068359375, 349
ERIC, JENKINS, 1, 2017, 2384.070068359375, 349
KELLI, XIE, 1, 2017, 2315.2966978549957, 382
MICHELE, JAI, 1, 2017, 2308.522397994995, 383
JEROME, SUAREZ, 1, 2017, 2307.830904006958, 384
FERNANDO, BRYANT, 1, 2017, 2304.228699207306, 385
MEREDITH, ALONSO, 1, 2017, 2302.882896900177, 386
TAYLOR, MARTINEZ, 1, 2017, 2301.5625, 387
NATALIE, DIAZ, 1, 2017, 2300.93967628479, 388
JOE, MARTINEZ, 1, 2017, 2298.9181432724, 389
VANESSA, BUTLER, 1, 2017, 2292.5797996520996, 390
PAMELA, MARTINEZ, 1, 2017, 2289.6324985027313, 391
THEODORE, TORRES, 1, 2017, 2285.6424984931946, 392
PRESTON, CHAPMAN, 1, 2017, 2282.756697177887, 393
TERRENCE, SHARMA, 1, 2017, 2280.6805996894836, 394
COREY, PAL, 1, 2017, 2280.5623989105225, 395
MASON, WRIGHT, 1, 2017, 2278.492500305176, 396
WENDY, TORRES, 1, 2017, 2277.1325001716614, 397
TAYLOR, TAYLOR, 1, 2017, 2274.3796768188477, 398
NICOLAS, XIE, 1, 2017, 2273.7392988204956, 399
KRISTEN, CAI, 1, 2017, 2273.0224990844727, 400
SHAWN, XIE, 1, 2017, 2272.1425001621246, 401
JARROD, MADAN, 1, 2017, 2272.1425001621246, 401
SUZANNE, SHE, 1, 2017, 2270.2097973823547, 403
ALBERT, NAVARRO, 1, 2017, 2269.238697528839, 404
KRISTOPHER, LOPEZ, 1, 2017, 2268.0324993133545, 405
DARRYL, HU, 1, 2017, 2265.800901412964, 406
RUBEN, SUAREZ, 1, 2017, 2264.9596767425537, 407
ALEXA, MURPHY, 1, 2017, 2264.619800567627, 408
JULIO, SANZ, 1, 2017, 2262.3028984069824, 409
JACLYN, LI, 1, 2017, 2262.3028984069824, 409
PAMELA, SANCHEZ, 1, 2017, 2261.800901412964, 411
BARBARA, DENG, 1, 2017, 2261.2586975097656, 412
JACLYN, LUO, 1, 2017, 2261.122500181198, 413
ETHAN, HENDERSON, 1, 2017, 2259.776697874069, 414
JULIAN, FLORES, 1, 2017, 2257.6581439971924, 415
DARREN, MALHOTRA, 1, 2017, 2257.589797973633, 416
CARA, ZENG, 1, 2017, 2257.589797973633, 416
MACKENZIE, CARTER, 1, 2017, 2257.359676361084, 418
CANDICE, ZHU, 1, 2017, 2257.1325001716614, 419
KRISTI, SERRANO, 1, 2017, 2257.1325001716614, 419
JEFFERY, WANG, 1, 2017, 2255.7866978645325, 421
RUTH, GARCIA, 1, 2017, 2255.7866978645325, 421
NOAH, SCOTT, 1, 2017, 2255.6224422454834, 423
RACHEL, GRIFFIN, 1, 2017, 2253.102497816086, 424
DAMIEN, LU, 1, 2017, 2253.0081424713135, 425
WAYNE, KUMAR, 1, 2017, 2252.1566982269287, 426
CANDACE, ARUN, 1, 2017, 2251.628698348999, 427
SHEILA, GOMEZ, 1, 2017, 2249.5025005340576, 428
RAQUEL, MORENO, 1, 2017, 2247.806697845459, 429
AARON, SCOTT, 1, 2017, 2244.5125007629395, 430
KAYLEE, KELLY, 1, 2017, 2244.1873741149902, 431
JACLYN, ZHOU, 1, 2017, 2243.1666984558105, 432
LARRY, BLANCO, 1, 2017, 2243.1666984558105, 432
KRISTINA, MEHTA, 1, 2017, 2243.1666984558105, 432
TERRY, LAL, 1, 2017, 2243.1666984558105, 432
PATRICIA, CHAPMAN, 1, 2017, 2240.9796772003174, 436
CHARLES, RODRIGUEZ, 1, 2017, 2239.9596767425537, 437
SETH, MILLER, 1, 2017, 2238.1766986846924, 438
KURT, ANAND, 1, 2017, 2238.1766986846924, 438
RONNIE, WAGNER, 1, 2017, 2238.042498111725, 440
NOAH, TURNER, 1, 2017, 2236.552501678467, 441
JÉSUS, BLANCO, 1, 2017, 2235.4551000595093, 442
CLAUDIA, MCDONALD, 1, 2017, 2235.3796768188477, 443
TABITHA, PEREZ, 1, 2017, 2234.1766986846924, 444
DAVID, THOMAS, 1, 2017, 2234.0912742614746, 445
FERNANDO, JACKSON, 1, 2017, 2234.0912742614746, 445
